Genus,species,average_abundance
Cedecea,Cedecea davisae,0.00013378378378378378
Bacteroides,Bacteroides nordii,0.02793027027027027
Brachyspira,Brachyspira unclassified,0.04187315315315315
Pseudoflavonifractor,Pseudoflavonifractor capillosus,0.0044681081081081086
Subdoligranulum,Subdoligranulum sp 4 3 54A2FAA,0.09530630630630631
Ruminococcus,Ruminococcus torques,1.8874892792792795
Klebsiella,Klebsiella sp MS 92 3,0.0
Parabacteroides,Parabacteroides goldsteinii,0.053716576576576566
Synergistes,Synergistes sp 3 1 syn1,0.005036486486486487
Leptotrichia,Leptotrichia wadei,0.0
Eubacterium,Eubacterium cylindroides,0.04186774774774774
Methanobrevibacter,Methanobrevibacter unclassified,0.0026800900900900903
Prevotella,Prevotella nanceiensis,8.306306306306307e-05
Clostridium,Clostridium hiranonis,0.0
Oxalobacter,Oxalobacter formigenes,0.0015884684684684684
Haemophilus,Haemophilus parainfluenzae,0.6733198198198197
Rothia,Rothia aeria,1.882882882882883e-05
Prevotella,Prevotella sp oral taxon 473,0.0
Haemophilus,Haemophilus pittmaniae,0.0
Veillonella,Veillonella unclassified,0.7390291891891894
Eubacterium,Eubacterium biforme,0.44256378378378375
Fusobacterium,Fusobacterium mortiferum,0.8374686486486488
Acidaminococcus,Acidaminococcus unclassified,0.28733207207207206
Actinomyces,Actinomyces odontolyticus,0.008839549549549552
Desulfobulbus,Desulfobulbus sp oral taxon 041,1.4774774774774774e-05
Streptococcus,Streptococcus mutans,0.008158288288288289
Bacteroides,Bacteroides sp 2 2 4,0.0
Clostridium,Clostridium sp ATCC BAA 442,0.12488306306306304
Lactobacillus,Lactobacillus delbrueckii,0.0019244144144144146
Bacteroides,Bacteroides finegoldii,0.35788045045045047
Ruminococcaceae,Ruminococcaceae bacterium D16,0.0360154054054054
Bacteroides,Bacteroides faecis,0.06056306306306306
Enterococcus,Enterococcus faecalis,0.08951882882882883
Pantoea,Pantoea agglomerans,0.0
Neisseria,Neisseria meningitidis,0.00010297297297297297
Treponema,Treponema denticola,0.0
Odoribacter,Odoribacter laneus,0.04125441441441441
Bifidobacterium,Bifidobacterium adolescentis,1.0346436936936936
Peptostreptococcus,Peptostreptococcus unclassified,0.014610810810810808
Proteus,Proteus penneri,0.0
Ruminococcus,Ruminococcus sp 5 1 39BFAA,0.49104792792792795
Weissella,Weissella paramesenteroides,0.0
Methanosphaera,Methanosphaera stadtmanae,0.0026625225225225227
Campylobacter,Campylobacter showae,0.000343063063063063
Treponema,Treponema vincentii,0.0
Rothia,Rothia mucilaginosa,0.02453054054054054
Peptoniphilus,Peptoniphilus duerdenii,3.09009009009009e-05
Bifidobacterium,Bifidobacterium angulatum,0.0
Cronobacter,Cronobacter sakazakii,0.0
Brevibacterium,Brevibacterium unclassified,0.0
Bacteroides,Bacteroides dorei,2.23065009009009
Marvinbryantia,Marvinbryantia formatexigens,0.0
Lactobacillus,Lactobacillus pentosus,0.0
Gardnerella,Gardnerella vaginalis,0.0020883783783783782
Abiotrophia,Abiotrophia defectiva,0.002425495495495495
Coprobacillus,Coprobacillus sp 29 1,0.0
Ruminococcus,Ruminococcus sp JC304,0.0027245945945945944
Lactobacillus,Lactobacillus rhamnosus,0.0018108108108108106
Parabacteroides,Parabacteroides johnsonii,0.131431981981982
Streptococcus,Streptococcus thermophilus,0.06503657657657656
Lactobacillus,Lactobacillus oris,0.00027477477477477475
Akkermansia,Akkermansia muciniphila,0.4828044144144144
Actinomyces,Actinomyces graevenitzii,0.0027485585585585583
Atopobium,Atopobium rimae,0.0009050450450450451
Prevotella,Prevotella pleuritidis,2.1351351351351353e-05
Moraxella,Moraxella catarrhalis,9.864864864864865e-05
Corynebacterium,Corynebacterium kroppenstedtii,3e-05
Corynebacterium,Corynebacterium accolens,7.486486486486486e-05
Lactobacillus,Lactobacillus sanfranciscensis,0.00297027027027027
Streptococcus,Streptococcus pseudopneumoniae,0.0004227927927927928
Aeromonas,Aeromonas unclassified,0.0015576576576576576
Bacillus,Bacillus licheniformis,0.0
Eubacterium,Eubacterium eligens,1.4467897297297296
Eikenella,Eikenella corrodens,0.002454234234234234
Scardovia,Scardovia inopinata,0.0
Clostridium,Clostridium spiroforme,0.0
Bacteroides,Bacteroides fluxus,0.16373702702702703
Lachnospiraceae,Lachnospiraceae bacterium 1 4 56FAA,0.06092846846846847
Citrobacter,Citrobacter unclassified,0.0411581981981982
Leuconostoc,Leuconostoc gasicomitatum,0.0
Ruminococcus,Ruminococcus lactaris,0.5329642342342342
Bilophila,Bilophila unclassified,0.31844450450450446
Leptotrichia,Leptotrichia shahii,0.0
Anaerotruncus,Anaerotruncus unclassified,0.006670090090090092
Aggregatibacter,Aggregatibacter segnis,0.00503972972972973
Eggerthella,Eggerthella lenta,0.018220540540540536
Parvimonas,Parvimonas unclassified,0.04204324324324323
Helicobacter,Helicobacter pullorum,0.0
Bacteroides,Bacteroides thetaiotaomicron,1.4900987387387385
Bacteroides,Bacteroides vulgatus,3.6664458558558564
Streptococcus,Streptococcus agalactiae,0.001757117117117117
Clostridium,Clostridium methylpentosum,0.0010075675675675676
Phascolarctobacterium,Phascolarctobacterium succinatutens,1.3778472972972977
Peptoniphilus,Peptoniphilus lacrimalis,0.0012825225225225223
Holdemania,Holdemania unclassified,0.005237117117117117
Eggerthella,Eggerthella sp HGA1,0.0
Alistipes,Alistipes senegalensis,0.017384144144144145
Providencia,Providencia rettgeri,0.0
Streptococcus,Streptococcus vestibularis,0.059212072072072054
Pyramidobacter,Pyramidobacter piscolens,0.0006802702702702703
Meiothermus,Meiothermus silvanus,0.0001500900900900901
Veillonella,Veillonella dispar,0.10360954954954962
Centipeda,Centipeda periodontii,2.963963963963964e-05
Streptococcus,Streptococcus anginosus,0.036713513513513506
Erysipelotrichaceae,Erysipelotrichaceae bacterium 21 3,0.004032702702702703
