,metabolite,reaction,flux_healthy,flux_CRC,flux_diff,perc_flux_diff
376,cellb_medium,EX_cellb_medium,0.0,0.0,0.0,
375,cd2_medium,EX_cd2_medium,0.0,0.0,0.0,
374,cbl2_medium,EX_cbl2_medium,0.0,0.0,0.0,
373,cbl1_medium,EX_cbl1_medium,0.0,0.0,0.0,
372,butso3_medium,EX_butso3_medium,0.0,0.0,0.0,
370,btoh_medium,EX_btoh_medium,0.0,0.0,0.0,
369,btn_medium,EX_btn_medium,0.0,0.0,0.0,
243,MGlcn4_medium,EX_MGlcn4_medium,0.0,0.0,0.0,
367,bhb_medium,EX_bhb_medium,0.0,0.0,0.0,
395,dpcoa_medium,EX_dpcoa_medium,0.0,0.0,0.0,
396,drib_medium,EX_drib_medium,0.0,0.0,0.0,
397,etha_medium,EX_etha_medium,0.0,0.0,0.0,
398,ethso3_medium,EX_ethso3_medium,0.0,0.0,0.0,
431,hexs_medium,EX_hexs_medium,0.0,0.0,0.0,
430,hdca_medium,EX_hdca_medium,0.0,0.0,0.0,
428,h2o_medium,EX_h2o_medium,0.0,0.0,0.0,
426,gthrd_medium,EX_gthrd_medium,0.0,0.0,0.0,
425,gthox_medium,EX_gthox_medium,0.0,0.0,0.0,
424,gncore2_rl_medium,EX_gncore2_rl_medium,0.0,0.0,0.0,
423,gncore2_medium,EX_gncore2_medium,0.0,0.0,0.0,
422,gncore1_rl_medium,EX_gncore1_rl_medium,0.0,0.0,0.0,
421,gncore1_medium,EX_gncore1_medium,0.0,0.0,0.0,
420,glygn5_medium,EX_glygn5_medium,0.0,0.0,0.0,
419,glygn4_medium,EX_glygn4_medium,0.0,0.0,0.0,
418,glygn2_medium,EX_glygn2_medium,0.0,0.0,0.0,
365,aso3_medium,EX_aso3_medium,0.0,0.0,0.0,
415,glutar_medium,EX_glutar_medium,0.0,0.0,0.0,
413,gchola_medium,EX_gchola_medium,0.0,0.0,0.0,
411,gbbtn_medium,EX_gbbtn_medium,0.0,0.0,0.0,
410,galt_medium,EX_galt_medium,0.0,0.0,0.0,
409,galctn_D_medium,EX_galctn_D_medium,0.0,0.0,0.0,
408,galct_D_medium,EX_galct_D_medium,0.0,0.0,0.0,
406,gal1b3acgal_medium,EX_gal1b3acgal_medium,-1e-06,-1e-06,0.0,-0.0
405,gal1a3acgal_medium,EX_gal1a3acgal_medium,0.0,0.0,0.0,
404,fuc1p_L_medium,EX_fuc1p_L_medium,0.0,0.0,0.0,
402,fecrm_medium,EX_fecrm_medium,0.0,0.0,0.0,
401,f1a_rl_medium,EX_f1a_rl_medium,0.0,0.0,0.0,
400,f1a_medium,EX_f1a_medium,0.0,0.0,0.0,
399,etoh_medium,EX_etoh_medium,0.0,0.0,0.0,
414,glcr_medium,EX_glcr_medium,0.0,0.0,0.0,
242,MGlcn48_rl_medium,EX_MGlcn48_rl_medium,0.0,0.0,0.0,
250,MGlcn53_rl_medium,EX_MGlcn53_rl_medium,0.0,0.0,0.0,
240,MGlcn47_rl_medium,EX_MGlcn47_rl_medium,0.0,0.0,0.0,
90,MGlcn144_medium,EX_MGlcn144_medium,0.0,0.0,0.0,
89,MGlcn143_rl_medium,EX_MGlcn143_rl_medium,0.0,0.0,0.0,
88,MGlcn143_medium,EX_MGlcn143_medium,0.0,0.0,0.0,
87,MGlcn142_rl_medium,EX_MGlcn142_rl_medium,0.0,0.0,0.0,
86,MGlcn142_medium,EX_MGlcn142_medium,0.0,0.0,0.0,
85,MGlcn141_rl_medium,EX_MGlcn141_rl_medium,0.0,0.0,0.0,
84,MGlcn141_medium,EX_MGlcn141_medium,0.0,0.0,0.0,
83,MGlcn140_rl_medium,EX_MGlcn140_rl_medium,0.0,0.0,0.0,
82,MGlcn140_medium,EX_MGlcn140_medium,0.0,0.0,0.0,
81,MGlcn13_rl_medium,EX_MGlcn13_rl_medium,0.0,0.0,0.0,
80,MGlcn13_medium,EX_MGlcn13_medium,0.0,0.0,0.0,
79,MGlcn139_rl_medium,EX_MGlcn139_rl_medium,0.0,0.0,0.0,
78,MGlcn139_medium,EX_MGlcn139_medium,0.0,0.0,0.0,
77,MGlcn138_rl_medium,EX_MGlcn138_rl_medium,0.0,0.0,0.0,
76,MGlcn138_medium,EX_MGlcn138_medium,0.0,0.0,0.0,
75,MGlcn137_rl_medium,EX_MGlcn137_rl_medium,0.0,0.0,0.0,
74,MGlcn137_medium,EX_MGlcn137_medium,0.0,0.0,0.0,
73,MGlcn136_rl_medium,EX_MGlcn136_rl_medium,0.0,0.0,0.0,
72,MGlcn136_medium,EX_MGlcn136_medium,0.0,0.0,0.0,
71,MGlcn135_rl_medium,EX_MGlcn135_rl_medium,0.0,0.0,0.0,
70,MGlcn135_medium,EX_MGlcn135_medium,0.0,0.0,0.0,
69,MGlcn134_rl_medium,EX_MGlcn134_rl_medium,0.0,0.0,0.0,
68,MGlcn134_medium,EX_MGlcn134_medium,0.0,0.0,0.0,
67,MGlcn133_rl_medium,EX_MGlcn133_rl_medium,0.0,0.0,0.0,
66,MGlcn133_medium,EX_MGlcn133_medium,0.0,0.0,0.0,
65,MGlcn132_rl_medium,EX_MGlcn132_rl_medium,0.0,0.0,0.0,
64,MGlcn132_medium,EX_MGlcn132_medium,0.0,0.0,0.0,
91,MGlcn144_rl_medium,EX_MGlcn144_rl_medium,0.0,0.0,0.0,
63,MGlcn131_rl_medium,EX_MGlcn131_rl_medium,0.0,0.0,0.0,
92,MGlcn145_medium,EX_MGlcn145_medium,0.0,0.0,0.0,
94,MGlcn146_medium,EX_MGlcn146_medium,0.0,0.0,0.0,
121,MGlcn159_rl_medium,EX_MGlcn159_rl_medium,0.0,0.0,0.0,
120,MGlcn159_medium,EX_MGlcn159_medium,0.0,0.0,0.0,
119,MGlcn158_rl_medium,EX_MGlcn158_rl_medium,0.0,0.0,0.0,
118,MGlcn158_medium,EX_MGlcn158_medium,0.0,0.0,0.0,
241,MGlcn48_medium,EX_MGlcn48_medium,0.0,0.0,0.0,
116,MGlcn157_medium,EX_MGlcn157_medium,0.0,0.0,0.0,
115,MGlcn156_rl_medium,EX_MGlcn156_rl_medium,0.0,0.0,0.0,
114,MGlcn156_medium,EX_MGlcn156_medium,0.0,0.0,0.0,
113,MGlcn155_rl_medium,EX_MGlcn155_rl_medium,0.0,0.0,0.0,
112,MGlcn155_medium,EX_MGlcn155_medium,0.0,0.0,0.0,
111,MGlcn154_rl_medium,EX_MGlcn154_rl_medium,0.0,0.0,0.0,
110,MGlcn154_medium,EX_MGlcn154_medium,0.0,0.0,0.0,
109,MGlcn153_rl_medium,EX_MGlcn153_rl_medium,0.0,0.0,0.0,
108,MGlcn153_medium,EX_MGlcn153_medium,0.0,0.0,0.0,
107,MGlcn151_rl_medium,EX_MGlcn151_rl_medium,0.0,0.0,0.0,
106,MGlcn151_medium,EX_MGlcn151_medium,0.0,0.0,0.0,
105,MGlcn150_rl_medium,EX_MGlcn150_rl_medium,0.0,0.0,0.0,
104,MGlcn150_medium,EX_MGlcn150_medium,0.0,0.0,0.0,
