,metabolite_id,metabolite_name,cross_feeding,produced_by,consumed_by
412,core2_medium,Core 2,True,"['Bacteroides_uniformis_ATCC_8492', 'Faecalibacterium_prausnitzii_M21_2']","['Bacteroides_uniformis_ATCC_8492', 'Faecalibacterium_prausnitzii_M21_2']"
413,core2_rl_medium,released Core 2,True,"['Bacteroides_uniformis_ATCC_8492', 'Faecalibacterium_prausnitzii_M21_2']","['Bacteroides_uniformis_ATCC_8492', 'Faecalibacterium_prausnitzii_M21_2']"
414,core3_medium,Core 3,True,"['Bacteroides_uniformis_ATCC_8492', 'Faecalibacterium_prausnitzii_M21_2']",['Bacteroides_uniformis_ATCC_8492']
415,core4_medium,Core 4,False,[],['Bacteroides_uniformis_ATCC_8492']
416,core4_rl_medium,released Core 4,False,[],['Bacteroides_uniformis_ATCC_8492']
417,core5_medium,Core 5,False,[],['Bacteroides_uniformis_ATCC_8492']
418,core6_medium,Core 6,True,"['Bacteroides_uniformis_ATCC_8492', 'Faecalibacterium_prausnitzii_M21_2']",['Bacteroides_uniformis_ATCC_8492']
419,core8_medium,Core 8,False,[],"['Bacteroides_uniformis_ATCC_8492', 'Faecalibacterium_prausnitzii_M21_2']"
420,cro4_medium,chromate,False,[],[]
421,cu2_medium,Cu2+,False,[],"['Bacteroides_uniformis_ATCC_8492', 'Bifidobacterium_adolescentis_ATCC_15703', 'Faecalibacterium_prausnitzii_M21_2']"
422,cys_L_medium,L-cysteine,True,"['Bacteroides_uniformis_ATCC_8492', 'Bifidobacterium_adolescentis_ATCC_15703', 'Faecalibacterium_prausnitzii_M21_2']","['Bacteroides_uniformis_ATCC_8492', 'Bifidobacterium_adolescentis_ATCC_15703', 'Faecalibacterium_prausnitzii_M21_2']"
423,cytd_medium,Cytidine,True,"['Bacteroides_uniformis_ATCC_8492', 'Bifidobacterium_adolescentis_ATCC_15703']",['Bacteroides_uniformis_ATCC_8492']
424,dad_2_medium,2-deoxyadenosine,False,['Bacteroides_uniformis_ATCC_8492'],[]
425,dcyt_medium,Deoxycytidine,True,"['Bacteroides_uniformis_ATCC_8492', 'Faecalibacterium_prausnitzii_M21_2']","['Bacteroides_uniformis_ATCC_8492', 'Faecalibacterium_prausnitzii_M21_2']"
426,ddca_medium,laurate,False,[],"['Bacteroides_uniformis_ATCC_8492', 'Bifidobacterium_adolescentis_ATCC_15703']"
427,dextran40_medium,"Dextran 40, 1,6-alpha-D-Glucan",False,[],['Bacteroides_uniformis_ATCC_8492']
428,dgchol_medium,glycochenodeoxycholate,False,[],"['Bacteroides_uniformis_ATCC_8492', 'Bifidobacterium_adolescentis_ATCC_15703']"
429,dgsn_medium,Deoxyguanosine,False,[],['Bacteroides_uniformis_ATCC_8492']
430,din_medium,Deoxyinosine,False,[],['Bacteroides_uniformis_ATCC_8492']
431,dsT_antigen_medium,disialyl-T antigen,False,[],['Bacteroides_uniformis_ATCC_8492']
432,dsT_antigen_rl_medium,released disialyl-T antigen,False,[],['Bacteroides_uniformis_ATCC_8492']
433,duri_medium,Deoxyuridine,False,[],['Bacteroides_uniformis_ATCC_8492']
